0 16384
3196 16069
6270 15137
9102 13623
11585 11585
11585 11585
13623 9102
15137 6270
16069 3196
16384 0
16384 0
16069 -3196
15137 -6270
13623 -9102
11585 -11585
11585 -11585
9102 -13623
6270 -15137
3196 -16069
0 -16384
0 -16384
-3196 -16069
-6270 -15137
-9102 -13623
-11585 -11585
-13623 -9102
-13623 -9102
-15137 -6270
-16069 -3196
-16384 0
-16069 3196
-16069 3196
-15137 6270
-13623 9102
-11585 11585
-9102 13623
-9102 13623
-6270 15137
-3196 16069
0 16384
3196 16069
3196 16069
6270 15137
9102 13623
11585 11585
13623 9102
15137 6270
15137 6270
16069 3196
16384 0
16069 -3196
15137 -6270
15137 -6270
13623 -9102
11585 -11585
9102 -13623
6270 -15137
6270 -15137
3196 -16069
0 -16384
-3196 -16069
-6270 -15137
-6270 -15137
-9102 -13623
-11585 -11585
-13623 -9102
-15137 -6270
-16069 -3196
-16069 -3196
-16384 0
-16069 3196
-15137 6270
-13623 9102
-13623 9102
-11585 11585
-9102 13623
-6270 15137
-3196 16069
-3196 16069
0 16384
3196 16069
6270 15137
9102 13623
9102 13623
11585 11585
13623 9102
15137 6270
16069 3196
16384 0
16384 0
16069 -3196
15137 -6270
13623 -9102
11585 -11585
11585 -11585
9102 -13623
6270 -15137
3196 -16069
0 -16384
0 -16384
