0 -1 0
0 -1 0
0 -1 0
0 -1 0
0 -1 0
0 -1 0
0 -1 0
0 -1 0
0 -1 1
0 -1 0
0 -1 0
0 -1 0
0 -1 -2
0 -1 -2
0 -1 -1
0 -1 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 -1
1 0 -3
1 0 -2
1 0 -2
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 0 -2
2 0 0
2 0 0
2 0 0
2 0 0
2 0 1
2 0 2
2 0 0
2 0 0
2 0 -1
2 0 -2
2 0 0
2 0 -1
2 0 0
2 0 2
2 0 1
3 0 2
3 0 0
3 0 -1
3 0 0
3 0 -2
3 0 -3
3 0 -4
3 0 1
3 0 10
3 0 19
3 0 26
3 0 13
3 0 -10
3 0 -39
3 0 -63
3 0 -58
4 0 -29
4 0 14
4 0 51
4 0 65
4 0 45
4 0 15
4 0 -5
4 0 -3
4 0 18
4 0 31
4 0 22
4 0 -15
4 0 -76
4 0 -99
4 0 -85
4 0 -38
5 0 33
5 0 58
5 0 48
5 0 15
5 0 -3
5 0 16
5 0 64
5 0 107
5 0 96
5 0 30
5 0 -65
5 0 -143
5 0 -167
5 0 -106
5 0 -25
5 0 33
6 0 37
6 0 -2
6 0 -38
6 0 -21
6 0 60
6 0 186
6 0 234
6 0 185
6 0 53
6 0 -151
6 0 -232
6 0 -211
6 0 -119
6 0 -21
6 0 21
6 0 -34
7 0 -114
7 0 -136
7 0 0
7 0 177
7 0 337
7 0 384
7 0 221
7 0 0
7 0 -192
7 0 -266
7 0 -195
7 0 -66
7 0 0
7 0 -48
7 0 -186
7 0 -263
8 0 -205
8 0 0
8 0 262
8 0 477
8 0 437
8 0 239
8 0 0
8 0 -187
8 0 -148
8 0 -19
8 0 64
8 0 -49
8 0 -264
8 0 -469
8 0 -514
8 0 -229
9 0 118
9 0 403
9 0 485
9 0 350
9 0 88
9 0 -11
9 0 97
9 0 330
9 0 444
9 0 272
9 0 -168
9 0 -677
9 0 -1006
9 0 -824
9 0 -348
9 0 147
10 0 449
10 0 265
10 0 -46
10 0 -156
10 0 151
10 0 945
10 0 1470
10 0 1458
10 0 753
10 0 -801
10 0 -1753
10 0 -2002
10 0 -1473
10 0 -276
10 0 359
10 0 301
11 0 -292
11 0 -705
11 0 -337
11 0 933
11 0 2578
11 0 3596
11 0 2898
11 0 850
11 0 -1692
11 0 -3540
11 0 -3786
11 0 -2280
11 0 -462
11 0 500
11 0 70
11 0 -1254
12 0 -1912
12 0 -807
12 0 3053
12 0 6207
12 0 7585
12 0 5987
12 0 0
12 0 -4916
12 0 -7775
12 0 -7384
12 0 -4373
12 0 0
12 0 1247
12 0 -225
12 0 -2926
12 0 -3257
13 0 0
13 0 6413
13 0 13014
13 0 15000
13 0 9916
13 0 0
13 0 -10531
13 0 -17874
13 0 -15267
13 0 -7668
13 0 0
13 0 2919
13 0 -504
13 0 -6635
13 0 -8131
13 0 0
14 0 22127
14 0 39360
